user_id,question_id,score,answer,category
14,26,3.0,9.0,Abstract concepts
14,27,4.0,16.0,Places
14,28,2.0,7.0,Abstract concepts
14,29,3.0,5.0,Colours
14,30,3.0,18.0,Places
14,31,4.0,16.0,Places
14,32,4.0,2.0,Colours
14,33,4.0,20.0,Places
14,34,1.0,5.0,Colours
14,35,4.0,3.0,Colours
14,36,3.0,17.0,Places
14,37,2.0,7.0,Abstract concepts
14,38,1.0,2.0,Colours
14,39,2.0,16.0,Places
14,40,3.0,3.0,Colours
14,41,1.0,1.0,Colours
14,42,2.0,19.0,Places
14,43,3.0,8.0,Abstract concepts
14,44,3.0,6.0,Abstract concepts
14,45,2.0,17.0,Places
14,46,3.0,9.0,Abstract concepts
14,47,1.0,1.0,Colours
14,48,2.0,17.0,Places
14,49,3.0,5.0,Colours
14,50,3.0,18.0,Places
14,51,4.0,16.0,Places
14,52,4.0,2.0,Colours
14,53,4.0,20.0,Places
14,54,4.0,17.0,Places
14,55,4.0,3.0,Colours
14,56,3.0,17.0,Places
14,57,3.0,19.0,Places
14,58,1.0,2.0,Colours
14,59,2.0,16.0,Places
